N	P	E	T	Q
0	0.0	0	12.4	23.0
1	0.0	0.22878923977050744	9.315	22.0
2	0.0	0.24701594302836094	10.48	21.0
3	5.83	0.3013647647653262	13.620000000000001	21.0
4	0.0	0.2811757369896049	12.465	22.0
5	0.0	0.21011013910970358	7.875	22.0
6	0.0	0.24272425272030243	10.125	22.0
7	0.0	0.3290046414989207	15.01	22.0
8	0.0	0.4220262116231734	19.16	21.0
9	0.0	0.4581515108531974	20.56	21.0
10	0.0	0.4765017332921683	21.235	21.0
11	0.98	0.48755990571978175	21.6	20.0
12	9.8	0.4849210780946276	21.42	22.0
13	3.51	0.5197313717519381	22.58	23.0
14	0.0	0.3906993135713698	17.705	25.0
15	0.0	0.35898713695739476	16.295	25.0
16	0.0	0.3973952703974202	17.990000000000002	25.0
17	0.0	0.42330250345858744	19.055	25.0
18	0.0	0.42305672675745554	18.990000000000002	25.0
19	0.0	0.40651698795451097	18.235	25.0
20	0.0	0.38152094975316425	17.155	24.0
21	0.0	0.40487840442853984	18.15	23.0
22	15.6	0.4298416249069969	19.16	41.0
23	0.0	0.2667018308231145	11.325000000000001	70.0
24	0.0	0.2753239185203013	11.764999999999999	57.0
25	0.0	0.39893790526015893	17.75	48.0
26	19.48	0.4665003260959451	20.4	72.0
27	0.0	0.3950266679237019	17.585	97.0
28	0.0	0.3546800691506874	15.794999999999998	88.0
29	0.0	0.3569133349018668	15.83	81.0
30	0.0	0.3910270506491289	17.265	75.0
31	0.0	0.3082055872361106	13.355	71.0
32	0.0	0.2048446947665206	6.925	67.0
33	0.0	0.24243143338943102	9.535	63.0
34	0.0	0.2087033813174328	7.09	58.0
35	0.0	0.2329755844837154	8.775	53.0
36	0.0	0.2685938916634111	11.01	48.0
37	0.0	0.251631650841809	9.98	43.0
38	0.0	0.2699922665332799	11.01	39.0
39	0.0	0.3623930076493214	15.71	35.0
40	27.19	0.4114345304302747	17.82	102.0
41	0.0	0.3150699798078675	13.425	194.0
42	0.0	0.29426602796672213	12.275	150.0
43	0.0	0.32728602481025043	13.9	118.0
44	2.3	0.37419786340817895	16.095	102.0
45	17.48	0.39457794564437504	16.975	103.0
46	0.0	0.43403857697522386	18.505	123.0
47	6.59	0.382733937076016	16.325	145.0
48	0.35	0.26672590955733555	10.485	155.0
49	13.02	0.3556457608603924	15.114999999999998	168.0
50	0.0	0.3762990841087806	15.940000000000001	198.0
51	0.0	0.4343713502990901	18.295	196.0
52	0.0	0.4594928550935583	19.245	192.0
53	0.0	0.5394112726124647	21.994999999999997	188.0
54	0.0	0.6005191471277841	23.72	178.0
55	3.12	0.5658827838570639	22.68	161.0
56	0.0	0.37533637638258727	15.719999999999999	144.0
57	0.0	0.2688426530974255	10.34	122.0
58	0.0	0.2945657687266461	11.655	103.0
59	0.0	0.3520305671024265	14.530000000000001	88.0
60	15.8	0.4174615257079607	17.345	84.0
61	21.92	0.33319212734401477	13.514999999999999	247.0
62	0.0	0.19349619819177633	5.01	262.0
63	0.0	0.25148991948704635	9.03	203.0
64	0.0	0.4250187841109109	17.505	169.0
65	0.0	0.477307126376195	19.32	154.0
66	0.0	0.5231112690264277	20.884999999999998	147.0
67	0.0	0.5580134286830388	22.0	140.0
68	0.0	0.5749857803885767	22.380000000000003	129.0
69	0.0	0.5571324448063436	21.83	116.0
70	0.0	0.6039474450703761	23.235	103.0
71	0.0	0.5940165688369806	22.945	89.0
72	0.41	0.6516912842298477	24.43	76.0
73	0.0	0.5239181790235177	20.63	67.0
74	0.0	0.44550724405673225	17.88	59.0
75	0.0	0.4877019878024284	19.27	52.0
76	0.0	0.6079137653204868	23.064999999999998	46.0
77	0.0	0.6627719851423942	24.585	41.0
78	0.0	0.636820270758801	23.880000000000003	36.0
79	0.0	0.704224123858194	25.52	37.0
80	0.0	0.6357813580600369	23.71	34.0
81	0.0	0.43942979122008263	17.38	29.0
82	0.0	0.42792628828130275	16.805	26.0
83	0.0	0.5499788623502503	21.05	23.0
84	0.0	0.6244617543499184	23.255000000000003	21.0
85	0.0	0.682454966172453	24.82	20.0
86	0.0	0.6476092666181297	23.755	18.0
87	0.0	0.7136877172795856	25.475	18.0
88	0.63	0.6919548974422057	24.924999999999997	31.0
89	1.19	0.6601694327779074	23.955	38.0
90	3.72	0.6243017488222629	22.975	50.0
91	37.53	0.49430762455095156	18.96	71.0
92	0.2	0.5151965370638046	19.66	98.0
93	3.09	0.6908613002230317	24.62	120.0
94	0.0	0.6902761710021197	24.604999999999997	146.0
95	0.91	0.667596740304886	24.015	212.0
96	0.0	0.5182731195500474	19.5	384.0
97	20.24	0.5775726473998838	21.355	524.0
98	19.83	0.630075930080311	22.865000000000002	680.0
99	0.0	0.655219661569931	23.535	680.0
100	0.0	0.6351043734595722	22.87	607.0
101	0.0	0.5435187037982534	20.18	492.0
102	0.0	0.6876252139547074	24.265	405.0
103	0.0	0.7189944542803803	24.92	344.0
104	13.14	0.7011581476533136	24.475	294.0
105	0.0	0.49122552740846787	18.335	257.0
106	0.0	0.4534508547074061	16.995	211.0
107	0.0	0.4860512474896686	18.03	174.0
108	0.0	0.5317948462384432	19.55	143.0
109	0.0	0.6087699322015236	21.87	119.0
110	0.0	0.5661516504630775	20.585	100.0
111	0.0	0.5419688111588092	19.745	85.0
112	0.0	0.5981106089695466	21.435000000000002	72.0
113	0.0	0.5869407431085303	21.11	62.0
114	0.0	0.6453771412255042	22.685000000000002	54.0
115	0.0	0.6148987351874392	21.785	46.0
116	0.0	0.6637362561734479	23.115000000000002	40.0
117	0.0	0.7262677690259007	24.7	35.0
118	0.0	0.6554127800718615	22.825	31.0
119	0.0	0.5077668001258053	18.39	27.0
120	0.0	0.5453914366890361	19.6	24.0
121	0.0	0.6155279422930501	21.675	21.0
122	0.0	0.6562438984672155	22.735	19.0
123	0.0	0.6583190289681552	22.715	18.0
124	0.0	0.6844240538953074	23.395	16.0
125	0.0	0.6605873790596178	22.775	15.0
126	0.0	0.6507756255977482	22.5	14.0
127	0.0	0.6961328866158475	23.564999999999998	13.0
128	0.0	0.6450876098371192	22.235	12.0
129	29.81	0.6999084136343657	23.66	13.0
130	0.0	0.6581973750881694	22.585	16.0
131	0.0	0.6984483695662146	23.555	17.0
132	0.0	0.7037770947862817	23.630000000000003	15.0
133	0.0	0.7211874906908117	24.060000000000002	13.0
134	0.0	0.7552051453102591	24.875	11.0
135	0.0	0.8041994162323249	25.994999999999997	10.0
136	0.0	0.8554129570534571	27.034999999999997	9.1
137	0.0	0.8584843218827223	27.04	12.0
138	0.0	0.894317992563575	27.78	17.0
139	0.0	0.8565830202506332	27.0	19.0
140	0.0	0.8755178119773128	27.395	15.0
141	13.19	0.8694584109887973	27.255	19.0
142	22.68	0.8096296331082937	25.905	33.0
143	14.46	0.7846153103595375	25.3	42.0
144	0.0	0.7930293544110495	25.490000000000002	28.0
145	12.71	0.7997267099085856	25.64	23.0
146	27.69	0.7270114218540424	23.95	75.0
147	0.0	0.7600465857311346	24.735	106.0
148	0.0	0.7563300342689042	24.615	120.0
149	0.0	0.7183935032478878	23.64	106.0
150	0.0	0.7566254422873974	24.53	93.0
151	0.0	0.7824434089321579	25.125	86.0
152	0.0	0.8011207995851312	25.545	84.0
153	0.0	0.818806039344491	25.935	78.0
154	0.0	0.8563739229819392	26.74	67.0
155	0.0	0.8821523347673772	27.275	54.0
156	0.0	0.903218703150372	27.7	41.0
157	0.0	0.9206157101916856	28.015	32.0
158	0.0	0.8082226304763573	25.635	26.0
159	0.0	0.8453357155622003	26.405	22.0
160	0.0	0.8728307636646181	26.965000000000003	19.0
161	0.0	0.8854206259943662	27.215	17.0
162	0.0	0.876151888128863	27.025	16.0
163	10.25	0.8427192990624833	26.325	19.0
164	39.29	0.8583411924917912	26.655	55.0
165	0.0	0.7754065606441778	24.84	32.0
166	0.0	0.7623848939773072	24.54	21.0
167	0.0	0.8275735246824967	26.0	16.0
168	0.0	0.8727581610837083	26.955000000000002	14.0
169	0.0	0.8945262356669085	27.4	13.0
170	6.51	0.9032135389320597	27.575000000000003	32.0
171	7.87	0.9022170524072498	27.555	77.0
172	33.32	0.8773666772567884	27.05	42.0
173	7.47	0.889102449256866	27.29	46.0
174	12.0	0.9104663675731389	27.720000000000002	51.0
175	0.0	0.9160018127486015	27.83	47.0
176	0.0	0.9281795083376426	28.07	32.0
