N	P	E	T	Q
0	0.0	0	5.61	741.0
1	0.0	1.6847203496736292	4.725	705.0
2	0.0	2.064777065551381	7.824999999999999	651.0
3	8.95	2.366538245111106	9.95	645.0
4	0.0	1.7275785350250936	5.085000000000001	687.0
5	0.0	1.427384572078488	2.1950000000000003	675.0
6	0.0	1.8438051262938677	5.985	657.0
7	7.03	2.86506255285164	12.84	708.0
8	4.8	3.586720291540419	16.51	765.0
9	0.0	3.3812162422527434	15.535	678.0
10	8.07	3.035968261651542	13.775	687.0
11	14.13	2.7550660714202673	12.209999999999999	852.0
12	0.0	2.5484984819449785	10.92	801.0
13	0.0	2.196946533415815	8.515	729.0
14	0.0	2.373949674235233	9.700000000000001	675.0
15	0.0	2.5779364316620144	11.0	640.0
16	0.4	3.100959702565705	13.965	660.0
17	16.28	3.5654797720306073	16.25	1100.0
18	0.0	3.0008662689017864	13.365	2100.0
19	0.0	3.144424890595538	14.040000000000001	1500.0
20	0.0	3.18553327097612	14.25	1000.0
21	0.0	3.3833086583524956	15.235	1100.0
22	26.78	2.7986631046934582	12.155000000000001	1700.0
23	0.0	1.6494887342278248	3.9000000000000004	1200.0
24	0.0	2.177043106577788	8.06	1130.0
25	16.31	2.67247465385671	11.274999999999999	1440.0
26	13.34	2.658213810791633	11.190000000000001	1470.0
27	0.0	2.3473761923309078	9.185	1180.0
28	0.0	2.362871940699433	9.19	1030.0
29	0.0	2.596216659296133	10.670000000000002	907.0
30	12.96	2.6752313263087846	11.145	1120.0
31	0.0	1.265280470649282	-0.2250000000000001	1230.0
32	0.0	1.146134388472514	-1.7299999999999998	1040.0
33	0.0	1.3764552771163816	0.9049999999999998	931.0
34	0.0	1.6556755455971925	3.6249999999999996	855.0
35	0.0	1.6740344939076797	3.71	795.0
36	8.62	1.9415464841367438	5.885	822.0
37	0.0	1.6307854678098204	3.265	837.0
38	0.0	1.7479285146389858	4.3	819.0
39	0.0	2.2472987830923783	7.99	798.0
40	10.1	2.126149712916556	7.135	917.0
41	0.0	1.548376453081733	2.3649999999999993	888.0
42	0.0	1.8384294916550745	4.845000000000001	855.0
43	0.0	1.9616137991674252	5.77	813.0
44	0.0	2.2565702951203077	7.914999999999999	762.0
45	0.0	2.8544182995689176	11.584999999999999	732.0
46	1.68	3.1919976148672773	13.254999999999999	720.0
47	0.0	1.876385663321305	4.965	720.0
48	0.0	1.598619038810533	2.5749999999999997	687.0
49	0.0	2.1781282044227765	7.1	669.0
50	0.0	3.249015258666374	13.4	660.0
51	0.0	4.432548269747558	18.53	660.0
52	4.38	4.727637237906569	19.485	681.0
53	2.59	4.880093649645798	20.015	750.0
54	0.0	5.103112248103196	20.78	774.0
55	0.0	4.3988440526209835	18.134999999999998	771.0
56	0.0	2.2818222751960064	7.549999999999999	732.0
57	0.0	1.9003568122669439	4.765	666.0
58	0.0	2.8306420409198316	10.82	633.0
59	0.0	3.7802613183563376	15.45	621.0
60	15.29	3.6904148160851746	15.055	759.0
61	19.97	1.5767284330514693	1.7750000000000004	1100.0
62	0.0	1.1868912506445624	-2.35	1030.0
63	0.0	1.8633021054180774	4.215	966.0
64	9.02	3.1364632621285944	12.17	1010.0
65	7.38	3.3714565802269734	13.31	1200.0
66	0.0	4.009779453416606	16.145	1260.0
67	56.99	4.93299421182347	19.490000000000002	4070.0
68	7.14	5.407341286326974	21.05	4450.0
69	12.73	4.879564765410158	19.295	3950.0
70	0.0	4.133633117469318	16.375	3530.0
71	16.19	3.7199835022106256	14.64	4110.0
72	56.16	2.8820543784045456	10.540000000000001	8480.0
73	0.0	3.06960251608161	11.41	7040.0
74	0.0	2.978196400716599	10.93	4530.0
75	0.0	3.763119160321046	14.695	2970.0
76	0.0	4.653368250797127	18.08	2330.0
77	34.97	3.613048948355106	13.899999999999999	3750.0
78	0.0	3.1961468679350538	11.925	3650.0
79	2.54	4.523249810993139	17.47	3310.0
80	15.54	4.813701172594044	18.515	2990.0
81	0.0	3.147069533256512	11.55	2540.0
82	0.0	3.6285915008583847	13.71	2160.0
83	7.78	4.46084148936071	17.105	2090.0
84	8.14	3.8939859049380345	14.86	2330.0
85	8.87	4.051304589899956	15.379999999999999	2010.0
86	5.81	3.606942744431147	13.485	2040.0
87	8.21	3.8783726813177695	14.665	2120.0
