N	P	E	T	Q
0	0.0	0	-6.24	59.0
1	0.0	0.5391675842926468	-5.475	51.0
2	0.0	0.4717045312294499	-7.3	44.0
3	0.0	0.34722513289531626	-11.375	38.0
4	0.0	0.358278324678023	-11.105	35.0
5	0.0	0.33544607066992105	-11.965	31.0
6	0.0	0.40839894246535435	-9.38	28.0
7	4.04	0.5775945331788199	-4.675	27.0
8	0.0	0.4750111754313947	-7.3549999999999995	25.0
9	0.0	0.3666733849683185	-10.945	24.0
10	0.0	0.4749980862749896	-7.5	24.0
11	12.99	0.9125698977107869	1.6899999999999995	170.0
12	0.0	0.4575417454102516	-8.005	126.0
13	0.0	0.516608805694415	-6.505000000000001	82.0
14	1.7	0.831224203686634	0.17499999999999982	70.0
15	0.0	0.6681988298475957	-2.9400000000000004	60.0
16	0.0	0.5728913665138903	-5.2299999999999995	54.0
17	1.11	0.6589321197913112	-3.2849999999999997	49.0
18	0.0	0.887061454643224	0.9649999999999999	45.0
19	0.0	0.7482587395457635	-1.57	42.0
20	0.0	0.4686286687474623	-8.11	39.0
21	0.0	0.364160521842953	-11.45	35.0
22	4.0	0.4753911275363336	-8.055	32.0
23	0.0	0.42128919010548627	-9.670000000000002	29.0
24	0.0	0.2752999284338766	-15.170000000000002	27.0
25	0.0	0.38213248523534793	-11.09	24.0
26	0.0	0.49117160007547067	-7.755	22.0
27	0.0	0.5260848675122889	-6.825	20.0
28	0.0	0.47577584303605713	-8.32	19.0
29	0.0	0.3478389398300127	-12.445	18.0
30	0.0	0.3090692716706851	-14.09	16.0
31	0.0	0.32394013757230766	-13.489999999999998	15.0
32	0.0	0.3279187861078198	-13.335	14.0
33	0.0	0.33951872090312457	-13.015	14.0
34	0.0	0.3681195319902364	-11.97	13.0
35	0.0	0.41161460721456306	-10.64	12.0
36	0.0	0.4141272471753629	-10.56	11.0
37	0.0	0.4851270338324675	-8.59	11.0
38	0.0	0.531153780625615	-7.37	11.0
39	0.0	0.5204707244852029	-7.7749999999999995	11.0
40	0.0	0.4693657256103342	-9.16	10.0
41	0.0	0.4669307337858574	-9.355	10.0
42	0.0	0.5400687171543446	-7.405	10.0
43	0.0	0.57884256569623	-6.535	9.9
44	0.0	0.5755485419106621	-6.67	9.8
45	0.0	0.5888421503946162	-6.36	9.8
46	0.0	0.5250513907546905	-8.04	9.8
47	11.9	0.4439785799389152	-10.275	9.7
48	0.0	0.4238686330495457	-11.004999999999999	9.6
49	0.0	0.5648624782964914	-7.180000000000001	9.6
50	0.0	0.780902216276623	-2.8300000000000005	10.0
51	0.0	1.0109198636586936	0.8650000000000002	11.0
52	0.0	0.5319980790749427	-8.235000000000001	11.0
53	8.0	0.5788114151675557	-7.165	11.0
54	0.0	0.7054727382701403	-4.505	12.0
55	0.0	0.7543564152536727	-3.6950000000000003	12.0
56	0.0	0.5644681450597898	-7.68	12.0
57	0.0	0.32881298690988114	-14.855	12.0
58	1.0	0.37603452549034555	-13.145	12.0
59	0.0	0.3600219622807622	-13.815	11.0
60	0.0	0.31580346157972494	-15.475	10.0
61	0.0	0.33212649271682193	-14.95	9.0
62	0.0	0.37794866200600186	-13.305	8.3
63	0.0	0.5302438446931839	-8.989999999999998	8.1
64	0.0	0.7744244935394532	-3.8200000000000003	8.0
65	3.94	0.8967473259451288	-1.8749999999999998	8.8
66	0.0	0.804326232306221	-3.4099999999999997	9.4
