N	P	E	T	Q
0	0.0	0	-8.365	170.0
1	0.0	0.35527025484847247	-6.36	140.0
2	0.0	0.28996444929033444	-9.1	120.0
3	0.0	0.21086276576228147	-13.265	105.0
4	0.0	0.21278936103550658	-13.209999999999999	94.0
5	0.0	0.19824291292556467	-14.18	84.0
6	0.0	0.20697254504823065	-13.645	75.0
7	5.17	0.3842851802902674	-5.4350000000000005	70.0
8	0.0	0.3054386540311129	-8.555	71.0
9	0.0	0.21613813004023075	-13.18	73.0
10	0.0	0.24348816191733227	-11.69	69.0
11	17.15	0.5757632676022345	0.11500000000000021	145.0
12	0.0	0.3359651514657508	-7.42	165.0
13	0.0	0.3184187335349426	-8.254999999999999	150.0
14	5.58	0.5213692564646945	-1.4649999999999999	140.0
15	0.0	0.3920185074112715	-5.459999999999999	120.0
16	0.0	0.3433092054469081	-7.365	110.0
17	0.31	0.3653921846704127	-6.57	97.0
18	0.0	0.5400502896748984	-1.115	87.0
19	0.0	0.5074055346071095	-2.1	80.0
20	0.0	0.3019634653999444	-9.280000000000001	75.0
21	0.0	0.2211070130370364	-13.350000000000001	70.0
22	6.96	0.2824114710965791	-10.275	67.0
23	4.48	0.26128838761636947	-11.325	65.0
24	0.0	0.14278042271539473	-18.945	62.0
25	0.0	0.20743424935403432	-14.43	61.0
26	0.0	0.2676713135705749	-11.145	63.0
27	0.0	0.3323676931492202	-8.365	64.0
28	0.0	0.283412231896893	-10.53	63.0
29	0.0	0.21109108542307592	-14.34	61.0
30	0.0	0.18225571891926554	-16.314999999999998	57.0
31	0.0	0.19312558954900597	-15.59	54.0
32	0.0	0.22197087450663255	-13.955000000000002	50.0
33	0.0	0.21100236754103616	-14.6	47.0
34	0.0	0.23547890632011875	-13.3	43.0
35	0.0	0.2954354935174124	-10.379999999999999	41.0
36	0.0	0.3069949937444195	-9.93	38.0
37	0.0	0.3094096028812039	-9.9	36.0
38	0.0	0.30290304675584867	-10.21	33.0
39	0.0	0.32469461618540557	-9.39	32.0
40	0.0	0.274420482407403	-11.604999999999999	30.0
41	0.0	0.27897036162344174	-11.515	29.0
42	0.0	0.32331117325830516	-9.575000000000001	28.0
43	0.0	0.37026662399111226	-7.89	27.0
44	0.0	0.3519851507883543	-8.57	26.0
45	0.0	0.38646464718443363	-7.4399999999999995	26.0
46	0.0	0.3380688563167227	-9.235	25.0
47	15.27	0.27790086083979726	-11.935	25.0
48	0.0	0.23560404778155833	-14.06	24.0
49	0.0	0.3186801253866727	-10.265	24.0
50	0.0	0.4384496405716111	-6.005	26.0
51	0.0	0.7063515268863731	0.6200000000000001	28.0
52	0.0	0.33701185150321483	-9.7	30.0
53	9.24	0.29101565332057877	-11.695	31.0
54	0.0	0.42291571562523156	-6.83	29.0
55	0.0	0.4219136907233615	-6.875	27.0
56	0.0	0.37335291516899133	-8.645	25.0
57	0.0	0.1976695297784215	-16.84	25.0
58	0.59	0.2301889695348287	-15.045	24.0
59	2.0	0.2568089058829308	-13.655000000000001	23.0
60	0.0	0.2186954734399889	-15.799999999999999	23.0
61	0.0	0.20014814368627268	-16.905	23.0
62	0.0	0.21452830521380703	-16.150000000000002	24.0
63	0.0	0.3164083372772657	-11.185	23.0
64	0.0	0.5040888076565975	-5.04	23.0
