N	P	E	T	Q
0	29.27	0	3.37	1410.0
1	11.08	13.709844533090948	3.325	1320.0
2	14.22	11.916554284622642	1.2599999999999998	1270.0
3	10.6	11.845041302508365	1.0550000000000002	1180.0
4	24.59	11.724230571109398	0.86	1490.0
5	0.0	8.63244601650252	-3.51	1230.0
6	0.0	8.087272876620503	-4.42	1010.0
7	32.78	7.487792089460766	-5.484999999999999	895.0
8	53.27	7.181268077876112	-6.21	790.0
9	32.15	8.358380828605021	-4.115	682.0
10	25.04	7.676144284800807	-5.295	638.0
11	59.93	11.299933019925946	0.16500000000000004	2900.0
12	36.23	13.076092767559217	2.1350000000000002	3550.0
13	29.32	13.049450211281794	2.105	3970.0
14	15.73	11.8944606068872	0.75	2910.0
15	17.72	12.49537448390093	1.355	2900.0
16	18.06	11.834813891375632	0.52	2840.0
17	0.0	9.230546382647873	-3.0300000000000002	2030.0
18	0.0	8.385062038462065	-4.4799999999999995	1540.0
19	0.0	9.557736210691283	-2.69	1220.0
20	0.0	10.325351644505576	-1.5950000000000002	1000.0
21	0.0	11.622397094101363	-0.050000000000000266	855.0
22	0.0	11.00137048648142	-0.8399999999999999	740.0
23	0.0	11.837474857999036	0.21499999999999986	682.0
24	1.71	12.003483464300569	0.2650000000000001	634.0
25	5.24	9.736903499661711	-2.7249999999999996	574.0
26	0.0	5.233104646014081	-11.255	520.0
27	0.0	4.722879210333309	-12.625	470.0
28	0.0	4.570319768224444	-13.05	430.0
29	0.0	5.07167627675048	-11.835	400.0
30	0.0	6.620638840234517	-8.315	370.0
31	17.15	9.701011219463636	-3.21	500.0
32	24.92	11.65792054207296	-0.5999999999999999	1260.0
33	18.72	15.055408065829072	2.9850000000000003	1990.0
34	4.37	16.1881996571687	4.0649999999999995	1490.0
35	0.0	15.635377336021842	3.4399999999999995	1210.0
36	17.18	14.46297255344244	2.245	1980.0
37	23.05	13.396522868142608	1.085	2440.0
38	0.0	14.12230082474063	1.7500000000000002	1670.0
39	0.0	13.743701027644162	1.35	1260.0
40	0.0	14.555163595163576	2.05	1010.0
41	0.0	13.47058552102462	0.915	845.0
42	0.0	12.319345705214406	-0.5150000000000001	725.0
43	0.0	13.420206537981889	0.7199999999999998	654.0
44	0.77	11.348699347617826	-1.825	586.0
45	9.37	8.821279133042745	-5.385	534.0
46	7.4	10.047936707505853	-3.6750000000000003	489.0
47	11.92	11.921334521153701	-1.355	485.0
48	21.08	14.992314675657388	1.9249999999999998	622.0
49	19.13	18.076329617730096	4.5649999999999995	895.0
50	10.06	16.743307270039285	3.42	1020.0
51	1.02	14.445170668526131	1.1099999999999999	845.0
52	0.0	14.932682080244621	1.595	710.0
53	7.39	15.655722990468004	2.155	658.0
54	5.81	17.16258793794231	3.5149999999999997	606.0
55	8.57	18.326388562533094	4.36	606.0
56	25.39	18.739855397000994	4.695	1040.0
57	13.18	20.256586548203632	5.735	1220.0
58	14.21	19.458924165919676	5.125	1310.0
59	8.27	16.547553767183864	2.575	1240.0
60	0.0	17.26767260957152	3.0749999999999993	996.0
61	0.0	20.740938666604837	5.824999999999999	820.0
62	0.0	21.98621937637755	6.58	710.0
63	4.05	18.55429314117715	4.015	670.0
64	6.42	17.91716544194155	3.3649999999999998	642.0
65	14.34	14.838191297783352	0.595	590.0
66	2.68	18.19964669194834	3.47	542.0
67	4.47	19.10845784433556	4.07	522.0
68	0.0	16.674843524980076	2.05	489.0
69	0.0	18.214286018504406	3.23	485.0
70	23.58	17.437985298718214	2.585	715.0
71	19.69	15.941151697913815	1.145	770.0
72	32.0	15.360433866669899	0.6049999999999999	1170.0
73	27.97	16.36276091423374	1.405	1250.0
74	20.96	15.112737409377823	0.1299999999999999	1090.0
75	9.84	15.54129486092896	0.5349999999999999	915.0
76	11.66	16.989219727231696	1.7150000000000003	1030.0
77	13.45	16.6787789352523	1.4450000000000003	1250.0
78	10.47	18.637238182042154	2.96	1260.0
79	3.9	19.833050825154455	3.885	1270.0
80	7.23	18.642195194025017	2.8449999999999998	1180.0
81	0.0	18.69632642807442	2.7700000000000005	1030.0
82	5.23	18.829459185226064	2.875	978.0
83	5.4	16.92316868816257	1.19	875.0
84	0.0	18.62290123499499	2.5949999999999998	780.0
85	5.01	20.20023607939782	3.6849999999999996	785.0
86	9.22	18.032681277264075	2.005	750.0
87	1.54	18.08716745201345	1.9349999999999998	686.0
88	7.35	20.249024890355177	3.49	686.0
89	9.23	16.45794943688271	0.4450000000000003	658.0
90	6.35	19.85607047513255	3.085	638.0
91	4.21	18.001836690133395	1.6400000000000001	590.0
92	0.0	18.213687869613523	1.7000000000000002	554.0
93	0.0	21.354140383734457	4.055	542.0
94	6.82	22.611342975268744	4.8	554.0
95	13.55	27.423931032799388	7.625	730.0
96	26.93	21.019784775202996	3.595	984.0
97	16.3	17.592386462469204	0.865	915.0
98	9.04	20.517610158149843	3.125	955.0
99	22.02	25.478182576097502	6.27	2110.0
100	17.9	20.91465964941563	3.3	1860.0
101	0.0	20.758509293081968	3.08	1390.0
102	0.0	29.68100839421762	8.395	1220.0
103	0.0	36.10011215856691	11.47	1280.0
104	4.12	41.098255358826265	13.435	1360.0
105	11.04	25.35611533535926	5.865	1380.0
106	0.0	25.262378550846563	5.7	1060.0
107	0.0	34.5152172873753	10.53	915.0
108	0.0	30.486451357089205	8.475	795.0
109	7.88	37.63291566385529	11.79	870.0
110	15.81	31.080421808171458	8.665	945.0
111	6.85	28.920080754562576	7.550000000000001	880.0
112	0.0	28.22847122890837	7.07	770.0
113	0.0	32.80073664152696	9.365	706.0
114	2.63	33.78524927948949	9.75	662.0
115	0.0	26.255645767261324	5.78	602.0
116	0.0	32.14753332880818	8.865	558.0
117	0.0	43.821267503406155	13.68	542.0
118	0.0	46.874373025154455	14.775	530.0
119	1.85	33.885629657721736	9.475	464.0
120	0.0	24.620278458527235	4.575	412.0
121	0.0	33.318122254150886	9.104999999999999	387.0
122	0.0	41.719055255927884	12.665	375.0
123	0.0	30.747847369413698	7.78	345.0
124	0.0	41.41663122154053	12.44	330.0
125	0.1	47.330683595923	14.57	324.0
126	0.0	33.66390276500361	9.055	300.0
127	0.0	27.935409199609335	6.18	280.0
128	0.0	34.77807520534226	9.46	267.0
129	4.8	32.77500090877183	8.535	282.0
130	2.0	32.92838673831221	8.504999999999999	257.0
131	0.01	34.409061401718546	9.190000000000001	242.0
132	0.81	38.95144140958143	11.040000000000001	238.0
133	0.32	34.679807269961266	9.21	228.0
134	1.42	34.42251962346905	9.065	220.0
135	0.0	29.2598290652822	6.485	210.0
136	3.11	26.060012559448687	4.7299999999999995	204.0
137	0.0	31.485811325416627	7.51	194.0
138	0.0	43.85558170063747	12.725	184.0
139	0.0	44.97201892966403	13.129999999999999	178.0
140	0.0	45.868659492035846	13.344999999999999	173.0
141	6.92	50.82448181606789	15.015	190.0
142	11.42	31.643306354580833	7.46	236.0
143	13.1	27.418322817507423	5.205	238.0
144	9.99	27.156171009341612	5.06	216.0
145	11.16	30.936662516957156	7.015	260.0
146	16.96	28.898052683000543	5.904999999999999	765.0
147	13.07	28.736761898105243	5.82	730.0
148	3.86	31.40359458059011	7.175000000000001	538.0
149	0.0	35.014491479892065	8.76	426.0
150	0.0	32.9435804818241	7.8149999999999995	366.0
151	0.0	38.73030707980112	10.34	324.0
152	6.84	41.64589664679569	11.49	360.0
153	5.11	29.331337142891083	5.9399999999999995	384.0
154	6.13	27.87754769065193	5.17	415.0
155	0.15	30.739981068792243	6.655	378.0
156	0.0	34.56113702645001	8.459999999999999	345.0
157	1.24	33.90376239003757	8.135	321.0
158	3.94	39.667374228172626	10.52	310.0
159	9.81	44.65469344710466	12.405	315.0
160	0.3	48.50781438628935	13.74	277.0
161	0.0	38.087858190249335	9.879999999999999	260.0
162	0.0	42.622138180669	11.66	242.0
163	4.31	43.485124688217965	11.98	245.0
164	14.52	36.230706927551346	9.07	351.0
165	12.06	33.02586393082874	7.59	433.0
166	1.09	37.78727554624774	9.66	390.0
167	0.0	49.76506332414908	14.055	366.0
168	5.35	43.373442253124075	11.84	348.0
169	0.0	41.130036193995004	10.995	310.0
